all	1310138
all	68122
all	1336954
all	192388
all	1310138
all	68122
all	1336954
all	192388
all	2188
all	10717
all	1073
all	3224
all	889
all	2989
all	899
all	2520
all	1007
all	3074
all	2098
all	7433
all	979
all	826
all	2888
all	12625
all	2760
all	9877
all	1854
all	3927
all	1986
all	6736
all	1560
all	4352
all	2898
all	73180
all	2284
all	9249
all	2314
all	37572
all	1608
all	14260
all	1297
all	11453
all	561
all	472
all	1802
all	11250
all	2854
all	35527
all	1420
all	11281
all	616
all	635
all	1524
all	5081
all	3128
all	16695
all	1183
all	1296
all	1996
all	5640
all	393
all	365
all	860
all	659
all	2411
all	8388
all	2691
all	9856
all	1562
all	2530
all	1361
all	2184
all	1586
all	11726
all	1406
all	4424
all	1468
all	12670
all	4008
all	44851
all	2354
all	8992
all	954
all	13828
all	4440
all	1002
all	2327
all	26663
all	8001
all	77008
all	1670
all	7015
all	1472
all	24757
all	1199
all	971
all	4259
all	64229
all	3276
all	39595
all	4121
all	195466
all	2803
all	66995
all	1207
all	1435
all	619
all	445
all	1359
all	1568
all	2321
all	13140
all	1952
all	7870
all	996
all	6849
all	3024
all	45709
all	582
all	3313
all	2761
all	13336
all	1321
all	5632
all	2042
all	25609
all	1909
all	6548
all	614
all	8284
all	941
all	22086
all	3
all	334
all	528
all	411
all	2415
all	38368
all	2325
all	12187
all	3007
all	27146
all	4559
all	101658
all	1974
all	9122
all	314
all	401
all	1413
all	4636
all	738
all	4145
all	985
all	4844
all	1923
all	7090
all	2015
all	11796
all	1532
all	6385
all	2216
all	10480
all	1043
all	3253
all	942
all	3016
all	1002
all	2527
all	1044
all	3116
all	2113
all	6918
all	1279
all	584
all	1322
all	5410
all	374
all	694
all	8218
all	9483
all	2603
all	2195
all	1769
all	1787
all	4138
all	2348
all	968
all	4438
all	1001
all	856
all	2918
all	12637
all	2906
all	9572
all	1958
all	3896
all	1966
all	6450
all	1646
all	3977
all	2915
all	72063
all	2289
all	8208
all	2301
all	37143
all	1614
all	14279
all	11585
all	500
all	1810
all	11287
all	2881
all	34036
all	1405
all	11378
all	638
all	672
all	1476
all	5072
all	3259
all	16108
all	1354
all	2238
all	408
all	982
all	2525
all	2729
all	1629
all	1522
all	1794
all	11546
all	4194
all	12475
all	42429
all	8326
all	13653
all	1052
all	2398
all	25755
all	7644
all	76657
all	1836
all	6762
all	1499
all	24709
all	1213
all	993
all	4390
all	62241
all	3336
all	38837
all	4445
all	194122
all	3041
all	66215
all	1294
all	1496
all	647
all	478
all	1378
all	1588
all	2263
all	12371
all	1948
all	7526
all	1011
all	6875
all	3170
all	45568
all	821
all	3286
all	2817
all	12592
all	1436
all	5453
all	2121
all	25595
all	1966
all	5972
all	628
all	8246
all	922
all	21983
all	3
all	339
all	522
all	430
all	2573
all	38367
all	2267
all	12188
all	3147
all	26468
all	4628
all	100490
all	2198
all	9004
all	335
all	409
all	1842
all	4392
all	913
all	4103
all	1062
all	4811
all	1955
all	7129
all	1956
all	11841
all	1778
all	6184
all	1785
all	18957
all	1767
all	19109
all	1694
all	11922
all	1736
all	13424
all	1771
all	66747
all	1673
all	17673
all	1581
all	55172
all	1760
all	19638
all	1000
all	2576
all	1005
all	2438
all	1867
all	38442
all	1748
all	32988
all	635
all	1929
all	211
all	569
all	1201
all	13765
all	1064
all	6879
all	1404
all	5657
all	1568
all	6939
all	1353
all	5207
all	1398
all	6914
all	825
all	2533
all	871
all	1998
all	853
all	2411
all	918
all	2812
all	863
all	3068
all	952
all	3232
all	1076
all	3499
all	1308
all	11556
all	1422
all	13584
all	1275
all	747
all	2923
all	744
all	3703
all	1128
all	5387
all	981
all	3675
all	536
all	1409
all	559
all	1555
all	954
all	2392
all	1406
all	13231
all	1498
all	11667
all	825
all	1503
all	997
all	5499
all	1207
all	7529
all	1859
all	25137
all	2944
all	28572
all	1174
all	3313
all	886
all	2751
all	1795
all	24559
all	1785
all	19742
all	1122
all	2121
all	1054
all	2804
all	1130
all	5581
all	1035
all	3851
all	846
all	2561
all	869
all	2562
all	772
all	1498
all	988
all	5754
all	1269
all	9319
all	1312
all	11825
all	1505
all	11634
all	1138
all	6773
all	1334
all	1388
all	10293
all	1362
all	13095
all	1396
all	9283
all	1471
all	11111
all	4785
all	1226
all	5073
all	863
all	2645
all	934
all	3819
all	866
all	3252
all	828
all	2867
all	1682
all	12990
all	1966
all	20631
all	1773
all	35903
all	1820
all	37770
all	1402
all	5521
all	1490
all	6609
all	1241
all	3830
all	1214
all	7197
all	952
all	5079
all	303
all	520
all	305
all	705
all	2024
all	35659
all	1944
all	21058
all	2083
all	19437
all	1832
all	24291
all	1923
all	24470
all	1597
all	8683
all	1275
all	5574
all	1773
all	1431
all	5978
all	16487
all	1509
all	9733
all	1082
all	3446
all	1163
all	4199
all	1329
all	6838
all	1267
all	5385
all	1287
all	8324
all	1668
all	12284
all	1669
all	12249
all	1547
all	10344
all	1657
all	56045
all	1415
all	7355
all	1578
all	34764
all	2024
all	29612
all	1987
all	29074
all	1490
all	13117
all	1715
all	23151
all	1922
all	48995
all	2005
all	38604
all	2029
all	31264
all	2443
all	48609
all	1818
all	20928
all	2083
all	27136
all	1012
all	3989
all	1178
all	3878
all	2844
all	51024
all	3106
all	42978
all	2991
all	45726
all	2639
all	45391
all	3051
all	42049
all	2743
all	54329
all	7899
all	1377
all	7677
all	1428
all	75811
all	1946
all	29784
all	1309
all	8193
all	1500
all	57893
all	2115
all	38600
all	1415
all	12873
all	1149
all	8053
all	954
all	3087
all	1307
all	5082
all	1640
all	9840
all	962
all	2339
all	1012
all	2025
all	1092
all	2693
all	954
all	2635
all	1246
all	3631
all	1055
all	2459
all	1197
all	5588
all	1023
all	2744
all	1025
